Date,CPI
1999-01-01,
1999-01-04,5.63
1999-01-05,5.57
1999-01-06,5.56
1999-01-07,5.53
1999-01-08,5.41
1999-01-11,5.37
1999-01-12,5.46
1999-01-13,5.6
1999-01-14,5.67
1999-01-15,5.62
1999-01-18,5.63
1999-01-19,5.55
1999-01-20,5.49
1999-01-21,5.54
1999-01-22,5.59
1999-01-25,5.56
1999-01-26,5.54
1999-01-27,5.54
1999-01-28,5.53
1999-01-29,5.53
1999-01-31,5.6
1999-02-01,5.54
1999-02-02,5.49
1999-02-03,5.45
1999-02-04,5.41
1999-02-05,5.36
1999-02-08,5.36
1999-02-09,5.41
1999-02-10,5.35
1999-02-11,5.33
1999-02-12,5.24
1999-02-15,5.22
1999-02-16,5.25
1999-02-17,5.29
1999-02-18,5.23
1999-02-19,5.23
1999-02-22,5.31
1999-02-23,5.26
1999-02-24,5.22
1999-02-25,5.15
1999-02-26,5.21
1999-02-28,5.21
1999-03-01,5.15
1999-03-02,5.24
1999-03-03,5.2
1999-03-04,5.2
1999-03-05,5.28
1999-03-08,5.3
1999-03-09,5.34
1999-03-10,5.29
1999-03-11,5.27
1999-03-12,5.29
1999-03-15,5.28
1999-03-16,5.3
1999-03-17,5.28
1999-03-18,5.29
1999-03-19,5.21
1999-03-22,5.18
1999-03-23,5.23
1999-03-24,5.22
1999-03-25,5.17
1999-03-26,5.18
1999-03-29,5.14
1999-03-30,5.19
1999-03-31,5.19
1999-04-01,5.11
1999-04-02,5.17
1999-04-05,5.18
1999-04-06,5.18
1999-04-07,5.13
1999-04-08,5.18
1999-04-09,5.16
1999-04-12,5.14
1999-04-13,5.09
1999-04-14,5.05
1999-04-15,5.0
1999-04-16,4.96
1999-04-19,4.99
1999-04-20,5.02
1999-04-21,5.0
1999-04-22,4.93
1999-04-23,4.93
1999-04-26,4.95
1999-04-27,4.95
1999-04-28,4.92
1999-04-29,4.98
1999-04-30,4.76
1999-05-03,4.7
1999-05-04,4.65
1999-05-05,4.71
1999-05-06,4.61
1999-05-07,4.62
1999-05-10,4.67
1999-05-11,4.65
1999-05-12,4.68
1999-05-13,4.76
1999-05-14,4.66
1999-05-17,4.64
1999-05-18,4.6
1999-05-19,4.69
1999-05-20,4.72
1999-05-21,4.77
1999-05-24,4.81
1999-05-25,4.81
1999-05-26,4.78
1999-05-27,4.72
1999-05-28,4.74
1999-05-31,4.75
1999-06-01,4.65
1999-06-02,4.65
1999-06-03,4.69
1999-06-04,4.7
1999-06-07,4.72
1999-06-08,4.69
1999-06-09,4.64
1999-06-10,4.66
1999-06-11,4.6
1999-06-14,4.65
1999-06-15,4.63
1999-06-16,4.66
1999-06-17,4.77
1999-06-18,4.73
1999-06-21,4.68
1999-06-22,4.66
1999-06-23,4.61
1999-06-24,4.58
1999-06-25,4.6
1999-06-28,4.66
1999-06-29,4.69
