Date,Adj Close,Close,High,Low,Open,Volume,Date
1994-01-07,26.912429809570312,47.03125,47.0625,46.71875,46.84375,775500,1994-01-07
1994-01-10,27.23430824279785,47.59375,47.59375,46.96875,47.09375,593700,1994-01-10
1994-01-11,27.180667877197266,47.5,47.5625,47.34375,47.5625,295200,1994-01-11
1994-01-12,27.09127426147461,47.34375,47.53125,47.1875,47.53125,158400,1994-01-12
1994-01-13,27.019725799560547,47.21875,47.3125,47.15625,47.21875,244300,1994-01-13
1994-01-14,27.127031326293945,47.40625,47.5,47.375,47.375,137200,1994-01-14
1994-01-17,27.127031326293945,47.40625,47.46875,47.3125,47.40625,17700,1994-01-17
1994-01-18,27.162784576416016,47.46875,47.53125,47.375,47.46875,166400,1994-01-18
1994-01-19,27.09127426147461,47.34375,47.46875,47.25,47.40625,200800,1994-01-19
1994-01-20,27.162784576416016,47.46875,47.5,47.375,47.40625,281100,1994-01-20
1994-01-21,27.1091365814209,47.375,47.53125,47.34375,47.53125,85600,1994-01-21
1994-01-24,27.001853942871094,47.1875,47.5625,47.1875,47.34375,373800,1994-01-24
1994-01-25,27.001853942871094,47.1875,47.25,47.09375,47.21875,310400,1994-01-25
1994-01-26,27.0733699798584,47.3125,47.34375,47.125,47.1875,145100,1994-01-26
1994-01-27,27.323715209960938,47.75,47.8125,47.34375,47.40625,344500,1994-01-27
1994-01-28,27.39525604248047,47.875,48.03125,47.875,47.9375,356500,1994-01-28
1994-01-31,27.59195327758789,48.21875,48.3125,48.0,48.0625,313800,1994-01-31
1994-02-01,27.44890022277832,47.96875,48.15625,47.90625,48.15625,303600,1994-02-01
1994-02-02,27.627717971801758,48.28125,48.28125,48.09375,48.125,307600,1994-02-02
1994-02-03,27.5025634765625,48.0625,48.1875,47.90625,48.1875,466100,1994-02-03
1994-02-04,26.876680374145508,46.96875,48.125,46.96875,48.0625,1403200,1994-02-04
1994-02-07,27.001853942871094,47.1875,47.3125,46.84375,46.84375,516400,1994-02-07
1994-02-08,27.019725799560547,47.21875,47.28125,47.03125,47.28125,188200,1994-02-08
1994-02-09,27.127031326293945,47.40625,47.4375,47.1875,47.25,144600,1994-02-09
1994-02-10,26.894563674926758,47.0,47.40625,47.0,47.375,883900,1994-02-10
1994-02-11,26.983959197998047,47.15625,47.28125,46.8125,47.03125,519400,1994-02-11
1994-02-14,27.019725799560547,47.21875,47.375,47.0,47.0625,2742100,1994-02-14
1994-02-15,27.162784576416016,47.46875,47.5,47.25,47.3125,374700,1994-02-15
1994-02-16,27.14490509033203,47.4375,47.53125,47.34375,47.53125,287600,1994-02-16
1994-02-17,26.983959197998047,47.15625,47.6875,47.03125,47.65625,342400,1994-02-17
1994-02-18,26.823022842407227,46.875,47.21875,46.75,47.1875,313300,1994-02-18
1994-02-22,27.09127426147461,47.34375,47.34375,47.0,47.0,154500,1994-02-22
1994-02-23,27.019725799560547,47.21875,47.4375,47.0625,47.40625,391700,1994-02-23
1994-02-24,26.662090301513672,46.59375,47.0625,46.5625,47.0625,770800,1994-02-24
1994-02-25,26.787250518798828,46.8125,46.8125,46.5625,46.65625,531300,1994-02-25
1994-02-28,26.787250518798828,46.8125,47.0625,46.8125,46.9375,333000,1994-02-28
1994-03-01,26.679962158203125,46.625,46.90625,46.375,46.8125,423600,1994-03-01
1994-03-02,26.715726852416992,46.6875,46.6875,45.90625,46.03125,581500,1994-03-02
1994-03-03,26.644207000732422,46.5625,46.625,46.4375,46.625,223200,1994-03-03
1994-03-04,26.715726852416992,46.6875,46.8125,46.40625,46.5625,595800,1994-03-04
